suite,bench,kernel,compulsory_miss,other_miss
polybench_gpu,syrk,syrk_kernel,0.004023668639053254,0.0004142011834319527
polybench_gpu,2dconv,Convolution2D_kernel,0.10146650812524773,0.06619104240982956
polybench_gpu,3dconv,convolution3D_kernel,0.25477707006369427,0.0
polybench_gpu,mvt,mvt_kernel2,0.5014634146341463,0.0
polybench_gpu,mvt,mvt_kernel1,0.030419601112623543,0.4014691957152157
polybench_gpu,bicg,bicg_kernel2,0.030362215909090908,0.3824240944602273
polybench_gpu,bicg,bicg_kernel1,0.5009765625,0.0
polybench_gpu,gemm,gemm_kernel,0.07992202729044834,0.0
polybench_gpu,corr,std_kernel,0.2522184116633858,0.20064899114173226
polybench_gpu,corr,mean_kernel,0.5081883990575397,0.01512509300595238
polybench_gpu,corr,reduce_kernel,0.3324607329842932,0.10798429319371727
polybench_gpu,syr2k,syr2k_kernel,0.0039057876671795477,0.01284175642087821
polybench_gpu,fdtd2d,fdtd_step1_kernel,0.6679790026246719,0.0
polybench_gpu,fdtd2d,fdtd_step2_kernel,0.4519230769230769,0.0
polybench_gpu,fdtd2d,fdtd_step3_kernel,0.5771396396396397,0.0777027027027027
polybench_gpu,atax,atax_kernel1,0.030419601112623543,0.34421051074155173
polybench_gpu,atax,atax_kernel2,0.5014634146341463,0.0
polybench_gpu,covar,mean_kernel,0.5081883990575397,0.015125093005952382
polybench_gpu,covar,reduce_kernel,0.49803149606299213,0.0
polybench_gpu,gesummv,gesummv_kernel,0.029582399908093516,0.934179160204492
parboil,bfs,BFS_in_GPU_kernel,0.06898310708749548,0.8863900871141398
parboil,cutcp,cuda_cutoff_potential_lattice6overlap,0.03356944093093853,0.3328358208955224
parboil,lbm,performStreamCollide_kernel,1.0,0.0
parboil,histo,histo_final_kernel,1.0,0.0
parboil,histo,histo_intermediates_kernel,0.5264270613107822,0.32379756871035936
parboil,histo,histo_prescan_kernel,0.257458009526197,0.14690398596139384
parboil,histo,histo_main_kernel,0.2222222222222222,0.5550305460099274
parboil,mri-g,scan_inter2_kernel,0.5,0.0
parboil,mri-g,binning_kernel,0.311887323943662,0.34276056338028166
parboil,mri-g,splitSort,1.0,0.0
parboil,mri-g,uniformAdd,1.0,0.0
parboil,mri-g,scan_inter1_kernel,0.5,0.0
parboil,mri-g,scan_L1_kernel,1.0,0.0
parboil,mri-g,splitRearrange,0.812109375,0.06796875
parboil,mri-q,ComputePhiMag_GPU,1.0,0.0
parboil,mri-q,ComputeQ_GPU,1.0,0.0
parboil,sad,larger_sad_calc_16,0.5213681783243659,0.020983858570330513
parboil,sad,mb_sad_calc,0.0004728174888537322,0.0025276858909823096
parboil,sad,larger_sad_calc_8,0.5311454311454311,0.023166023166023165
parboil,stencil,block2D_hybrid_coarsen_x,0.37968905674366876,0.39002293843694247
parboil,sgemm,mysgemmNT,0.27647058823529413,0.1411764705882353
parboil,tpacf,gen_hists,0.19711668014012396,0.05847480463486931
parboil,spmv,spmv_jds,0.2111913357400722,0.0
