suite,bench,kernel,compulsory_miss,other_miss
polybench_gpu,syrk,syrk_kernel,0.004497041420118343,0.0
polybench_gpu,2dconv,Convolution2D_kernel,0.12604042806183116,0.005945303210463734
polybench_gpu,3dconv,convolution3D_kernel,0.25477707006369427,0.0
polybench_gpu,mvt,mvt_kernel2,0.5024390243902439,0.0
polybench_gpu,mvt,mvt_kernel1,0.030478783215955495,0.7678138131029176
polybench_gpu,bicg,bicg_kernel2,0.030421401515151516,0.8385453657670454
polybench_gpu,bicg,bicg_kernel1,0.501953125,0.0
polybench_gpu,gemm,gemm_kernel,0.07992202729044834,0.0
polybench_gpu,corr,std_kernel,0.2826187253937008,0.041676919291338585
polybench_gpu,corr,mean_kernel,0.5694444444444444,0.00985475570436508
polybench_gpu,corr,reduce_kernel,0.36910994764397903,0.0
polybench_gpu,syr2k,syr2k_kernel,0.0043792164753225235,0.07372174221801396
polybench_gpu,fdtd2d,fdtd_step1_kernel,0.7086614173228346,0.0
polybench_gpu,fdtd2d,fdtd_step2_kernel,0.4519230769230769,0.0
polybench_gpu,fdtd2d,fdtd_step3_kernel,0.5945945945945946,0.020833333333333332
polybench_gpu,atax,atax_kernel1,0.030478783215955495,0.8575042907024916
polybench_gpu,atax,atax_kernel2,0.5024390243902439,0.0
polybench_gpu,covar,mean_kernel,0.5694444444444444,0.018729073660714284
polybench_gpu,covar,reduce_kernel,0.5255905511811023,0.0
polybench_gpu,gesummv,gesummv_kernel,0.029582399908093516,0.9446622436670687
parboil,bfs,BFS_in_GPU_kernel,0.06898310708749548,0.910691911112872
parboil,cutcp,cuda_cutoff_potential_lattice6overlap,0.3361497596761953,0.021755628636478622
parboil,lbm,performStreamCollide_kernel,1.0,0.0
parboil,histo,histo_final_kernel,1.0,0.0
parboil,histo,histo_intermediates_kernel,0.5264270613107822,0.0
parboil,histo,histo_prescan_kernel,0.257458009526197,0.0
parboil,histo,histo_main_kernel,1.0,0.0
parboil,mri-g,scan_inter2_kernel,0.5,0.0
parboil,mri-g,binning_kernel,0.6356056338028169,0.06298591549295775
parboil,mri-g,splitSort,1.0,0.0
parboil,mri-g,uniformAdd,1.0,0.0
parboil,mri-g,scan_inter1_kernel,0.5,0.0
parboil,mri-g,scan_L1_kernel,1.0,0.0
parboil,mri-g,splitRearrange,0.943359375,0.0
parboil,mri-q,ComputePhiMag_GPU,1.0,0.0
parboil,mri-q,ComputeQ_GPU,1.0,0.0
parboil,sad,larger_sad_calc_16,0.5289008455034588,0.02336664104534973
parboil,sad,mb_sad_calc,0.004697612541349058,0.09365022292535596
parboil,sad,larger_sad_calc_8,0.5328185328185329,0.023166023166023165
parboil,stencil,block2D_hybrid_coarsen_x,0.4880789638314141,0.2580458305336083
parboil,sgemm,mysgemmNT,1.0,0.0
parboil,tpacf,gen_hists,0.20937752627324172,0.0028294260307194824
parboil,spmv,spmv_jds,0.3062575210589651,0.0
