suite,bench,kernel,compulsory_miss,other_miss
polybench_gpu,syrk,syrk_kernel,0.00378698224852071,0.10838295118343196
polybench_gpu,2dconv,Convolution2D_kernel,0.22568392566405082,0.29171058205200784
polybench_gpu,3dconv,convolution3D_kernel,0.38025719534598895,0.26701775872627065
polybench_gpu,mvt,mvt_kernel2,0.5024390243902439,0.0
polybench_gpu,mvt,mvt_kernel1,0.030478783215955495,0.6511362963839735
polybench_gpu,bicg,bicg_kernel2,0.030421401515151516,0.8700210108901515
polybench_gpu,bicg,bicg_kernel1,0.501953125,0.0
polybench_gpu,gemm,gemm_kernel,0.04678362573099415,0.016743382980019494
polybench_gpu,corr,std_kernel,0.2826187253937008,0.027386042076771654
polybench_gpu,corr,mean_kernel,0.5694444444444444,0.015516493055555556
polybench_gpu,corr,reduce_kernel,0.33233546711387435,0.0035649644142670156
polybench_gpu,syr2k,syr2k_kernel,0.00366907326310806,0.39295446391584804
polybench_gpu,fdtd2d,fdtd_step1_kernel,0.7083740632127729,0.0
polybench_gpu,fdtd2d,fdtd_step2_kernel,0.7916870415647922,0.02520171149144254
polybench_gpu,fdtd2d,fdtd_step3_kernel,0.5945945945945946,0.17483108108108109
polybench_gpu,atax,atax_kernel1,0.030478783215955495,0.7716236610049121
polybench_gpu,atax,atax_kernel2,0.5024390243902439,0.0
polybench_gpu,covar,mean_kernel,0.5694444444444444,0.0184539310515873
polybench_gpu,covar,reduce_kernel,0.5035602239173228,0.002314530019685039
polybench_gpu,gesummv,gesummv_kernel,0.029582399908093516,0.9446837842495261
parboil,bfs,BFS_in_GPU_kernel,0.06898310708749548,0.9100431361090339
parboil,cutcp,cuda_cutoff_potential_lattice6overlap,0.27779696558529665,0.1168373010978167
parboil,lbm,performStreamCollide_kernel,1.0,0.0
parboil,histo,histo_final_kernel,1.0,0.0
parboil,histo,histo_intermediates_kernel,0.5264270613107822,0.0
parboil,histo,histo_prescan_kernel,0.2533612927100037,0.11786110768471691
parboil,histo,histo_main_kernel,1.0,0.0
parboil,mri-g,scan_inter2_kernel,0.5,0.0
parboil,mri-g,binning_kernel,0.5768670020685361,0.40732173395205534
parboil,mri-g,splitSort,1.0,0.0
parboil,mri-g,uniformAdd,1.0,0.0
parboil,mri-g,scan_inter1_kernel,0.5,0.0
parboil,mri-g,scan_L1_kernel,1.0,0.0
parboil,mri-g,splitRearrange,0.8937397590361446,0.017802409638554218
parboil,mri-q,ComputePhiMag_GPU,1.0,0.0
parboil,mri-q,ComputeQ_GPU,1.0,0.0
parboil,sad,larger_sad_calc_16,0.5289008455034588,0.022905457340507304
parboil,sad,mb_sad_calc,0.000905961224859576,0.33458303363403924
parboil,sad,larger_sad_calc_8,0.5328185328185329,0.32892632892632895
parboil,stencil,block2D_hybrid_coarsen_x,0.4880789638314141,0.25871776454505435
parboil,sgemm,mysgemmNT,1.0,0.0
parboil,tpacf,gen_hists,0.20872629703049597,0.1671171982939869
parboil,spmv,spmv_jds,0.3062575210589651,0.0
