suite,bench,kernel,compulsory_miss,other_miss
polybench_gpu,syrk,syrk_kernel,0.004023668639053254,0.0034023668639053253
polybench_gpu,2dconv,Convolution2D_kernel,0.10146650812524773,0.07689258818866429
polybench_gpu,3dconv,convolution3D_kernel,0.25477707006369427,0.0
polybench_gpu,mvt,mvt_kernel2,0.5014634146341463,0.0
polybench_gpu,mvt,mvt_kernel1,0.030419601112623543,0.36274560572882764
polybench_gpu,bicg,bicg_kernel2,0.030362215909090908,0.37808504971590906
polybench_gpu,bicg,bicg_kernel1,0.5009765625,0.0
polybench_gpu,gemm,gemm_kernel,0.07992202729044834,0.0
polybench_gpu,corr,std_kernel,0.2522184116633858,0.19310754490649606
polybench_gpu,corr,mean_kernel,0.5081883990575397,0.01512509300595238
polybench_gpu,corr,reduce_kernel,0.3324607329842932,0.022905759162303665
polybench_gpu,syr2k,syr2k_kernel,0.0039057876671795477,0.012582850041425021
polybench_gpu,fdtd2d,fdtd_step1_kernel,0.6679790026246719,0.0
polybench_gpu,fdtd2d,fdtd_step2_kernel,0.4519230769230769,0.0
polybench_gpu,fdtd2d,fdtd_step3_kernel,0.5771396396396397,0.08164414414414414
polybench_gpu,atax,atax_kernel1,0.030419601112623543,0.3375747174054566
polybench_gpu,atax,atax_kernel2,0.5014634146341463,0.0
polybench_gpu,covar,mean_kernel,0.5081883990575397,0.01512509300595238
polybench_gpu,covar,reduce_kernel,0.49803149606299213,0.0
polybench_gpu,gesummv,gesummv_kernel,0.029582399908093516,0.9326856798207823
parboil,bfs,BFS_in_GPU_kernel,0.06898310708749548,0.886107795700256
parboil,cutcp,cuda_cutoff_potential_lattice6overlap,0.03356944093093853,0.33121679736908677
parboil,lbm,performStreamCollide_kernel,1.0,0.0
parboil,histo,histo_final_kernel,1.0,0.0
parboil,histo,histo_intermediates_kernel,0.5264270613107822,0.32254228329809725
parboil,histo,histo_prescan_kernel,0.257458009526197,0.14264226623213838
parboil,histo,histo_main_kernel,0.2222222222222222,0.555221458571974
parboil,mri-g,scan_inter2_kernel,0.5,0.0
parboil,mri-g,binning_kernel,0.311887323943662,0.34185915492957747
parboil,mri-g,splitSort,1.0,0.0
parboil,mri-g,uniformAdd,1.0,0.0
parboil,mri-g,scan_inter1_kernel,0.5,0.0
parboil,mri-g,scan_L1_kernel,1.0,0.0
parboil,mri-g,splitRearrange,0.812109375,0.0796875
parboil,mri-q,ComputePhiMag_GPU,1.0,0.0
parboil,mri-q,ComputeQ_GPU,1.0,0.0
parboil,sad,larger_sad_calc_16,0.5213681783243659,0.020983858570330513
parboil,sad,mb_sad_calc,0.0004728174888537322,0.0026391485689630377
parboil,sad,larger_sad_calc_8,0.5311454311454311,0.023166023166023165
parboil,stencil,block2D_hybrid_coarsen_x,0.37968905674366876,0.42563544104358303
parboil,sgemm,mysgemmNT,0.27647058823529413,0.1411764705882353
parboil,tpacf,gen_hists,0.19711668014012396,0.05901374292643492
parboil,spmv,spmv_jds,0.2111913357400722,0.0
